date,records,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_output_tokens
2026-06-12,1,186278,782,187060,185728,78
2026-06-13,192,15580755,117637,15698392,12726528,50431
2026-06-14,135,7769593,125559,7895152,7151616,65276
2026-06-15,135,8102441,85834,8188275,7529088,40656
2026-06-16,64,3561288,45264,3606552,3204096,23925
2026-06-17,138,13540105,44945,13585050,11747712,21176
2026-06-18,12,914005,4159,918164,858880,1701
2026-06-20,73,4650686,55134,4705820,3944704,20982
2026-06-21,94,8402153,82709,8484862,6740096,37068
